queue_position,task_key,title,requirement_file,requirement_line,classification
316,04-invoices-wallet-contracts.md#T-04.3.01.06,Overpayment wallet credit: separate `WalletService.credit()` with its own idempotency key,kanban/epics/04-invoices-wallet-contracts.md,353,unrecorded_before_furthest_merged_task
317,04-invoices-wallet-contracts.md#T-04.3.01.07,"Update invoice state tracking: as bank receipts accumulate, invoice state flows Unpaid → Partially funded → Paid",kanban/epics/04-invoices-wallet-contracts.md,354,unrecorded_before_furthest_merged_task
318,04-invoices-wallet-contracts.md#T-04.3.02.01,"Invoice detail API: aggregate invoice, lines, payments, bank receipts, refunds, adjustments",kanban/epics/04-invoices-wallet-contracts.md,376,unrecorded_before_furthest_merged_task
319,04-invoices-wallet-contracts.md#T-04.3.02.02,"Wallet transaction list API: cursor-based pagination, filters (type, state, date range), sort",kanban/epics/04-invoices-wallet-contracts.md,377,unrecorded_before_furthest_merged_task
320,04-invoices-wallet-contracts.md#T-04.3.02.03,"React components: InvoiceDetail, WalletTransactionList, BankReceiptList with full states",kanban/epics/04-invoices-wallet-contracts.md,378,unrecorded_before_furthest_merged_task
321,04-invoices-wallet-contracts.md#T-04.3.02.04,Localized state labels and descriptive text for every state,kanban/epics/04-invoices-wallet-contracts.md,379,unrecorded_before_furthest_merged_task
322,04-invoices-wallet-contracts.md#T-04.4.01.01,"Create `refunds` table: `id`, `invoiceId`, `profileId`, `amount`, `state`, `destination` (wallet",kanban/epics/04-invoices-wallet-contracts.md,418,unrecorded_before_furthest_merged_task
323,04-invoices-wallet-contracts.md#T-04.4.01.02,"Implement `RefundStateMachine` with all 9 transitions, guards, and audit events",kanban/epics/04-invoices-wallet-contracts.md,419,unrecorded_before_furthest_merged_task
324,04-invoices-wallet-contracts.md#T-04.4.01.03,DB constraint: `CHECK (amount <= (SELECT paidAmount - refundedAmount FROM invoices WHERE id = invoiceId))`,kanban/epics/04-invoices-wallet-contracts.md,420,unrecorded_before_furthest_merged_task
325,04-invoices-wallet-contracts.md#T-04.4.01.04,Wallet refund: `WalletService.credit()` with idempotency key tied to refund ID,kanban/epics/04-invoices-wallet-contracts.md,421,unrecorded_before_furthest_merged_task
326,04-invoices-wallet-contracts.md#T-04.4.01.05,External refund: workflow for staff to record bank reference; second reconciliation confirmation step,kanban/epics/04-invoices-wallet-contracts.md,422,unrecorded_before_furthest_merged_task
327,04-invoices-wallet-contracts.md#T-04.4.01.06,"Dual-approval integration: if refund amount ≥ threshold, require second finance staff before Approved",kanban/epics/04-invoices-wallet-contracts.md,423,unrecorded_before_furthest_merged_task
328,04-invoices-wallet-contracts.md#T-04.4.01.07,Retry worker: pick up Failed refunds with bounded backoff; alert if max attempts exceeded,kanban/epics/04-invoices-wallet-contracts.md,424,unrecorded_before_furthest_merged_task
329,04-invoices-wallet-contracts.md#T-04.4.02.01,"Build `AutomaticRefundObligation` trigger: on contract → Rejected/Cancelled, if paid amount > 0, create refund with state Requested, destination = wallet",kanban/epics/04-invoices-wallet-contracts.md,448,unrecorded_before_furthest_merged_task
330,04-invoices-wallet-contracts.md#T-04.4.02.02,"Worker: pick up auto-refund obligations, execute `WalletService.credit()`, mark refund Completed",kanban/epics/04-invoices-wallet-contracts.md,449,unrecorded_before_furthest_merged_task
331,04-invoices-wallet-contracts.md#T-04.4.02.03,Block contract/order financial closure until linked refund obligations are Completed,kanban/epics/04-invoices-wallet-contracts.md,450,unrecorded_before_furthest_merged_task
332,04-invoices-wallet-contracts.md#T-04.4.02.04,Finance queue: show failed auto-refund obligations with Retry action,kanban/epics/04-invoices-wallet-contracts.md,451,unrecorded_before_furthest_merged_task
333,04-invoices-wallet-contracts.md#T-04.4.02.05,Notify customer on completion and on failure (with support path),kanban/epics/04-invoices-wallet-contracts.md,452,unrecorded_before_furthest_merged_task
334,04-invoices-wallet-contracts.md#T-04.5.01.01,"Create `contracts` table: `id` (UUIDv7), `profileId`, `orderId?`, `serviceType` (enum), `state`, `currentVersionId`, `submittedAt`, `acceptedAt?`, `signedAt?`, `activatedAt?`, `completedAt?`, `cancelledAt?`, timestamps",kanban/epics/04-invoices-wallet-contracts.md,504,unrecorded_before_furthest_merged_task
