PR,title,merged_at,branch,task_keys,URL
1,feat: create pnpm workspace with apps/* and packages/* roots,2026-08-24T00:00:27Z,feat/e01-t-01-01-01--pnpm-workspace,01-platform-infrastructure.md#T-01.01.01,https://github.com/barghsadev/barghsa-core/pull/1
2,feat: create root turbo.json pipeline definition,2026-08-24T00:39:16Z,feat/e01-t-01-01-02--turbo-pipeline,01-platform-infrastructure.md#T-01.01.02,https://github.com/barghsadev/barghsa-core/pull/2
3,feat: create root .npmrc with strict peer deps (T-01.01.03),2026-08-24T00:48:43Z,feat/e01-t-01-01-03--npmrc,01-platform-infrastructure.md#T-01.01.03,https://github.com/barghsadev/barghsa-core/pull/3
4,feat: add root package.json scripts and engines constraint,2026-08-24T00:58:24Z,feat/e01-t-01-01-04--root-package-json-scripts,01-platform-infrastructure.md#T-01.01.04,https://github.com/barghsadev/barghsa-core/pull/4
5,feat: verify monorepo integrity and add CI workflow,2026-08-24T01:15:16Z,feat/e01-t-01-01-05--monorepo-integrity,01-platform-infrastructure.md#T-01.01.05,https://github.com/barghsadev/barghsa-core/pull/5
6,feat(tsconfig): create shared tsconfig/base.json with strict settings,2026-08-24T01:27:52Z,feat/e01-t-01-02-01--tsconfig-base,01-platform-infrastructure.md#T-01.02.01,https://github.com/barghsadev/barghsa-core/pull/6
7,feat: configure per-package tsconfig with project references,2026-08-24T01:39:10Z,feat/e01-t-01-02-02--per-package-tsconfig,01-platform-infrastructure.md#T-01.02.02,https://github.com/barghsadev/barghsa-core/pull/7
8,feat: create root tsconfig.json with project references (T-01.02.03),2026-08-24T01:55:03Z,feat/e01-t-01-02-03--root-tsconfig,01-platform-infrastructure.md#T-01.02.03,https://github.com/barghsadev/barghsa-core/pull/8
9,feat: add typecheck step to CI workflow (T-01.02.04),2026-08-24T02:18:17Z,feat/e01-t-01-02-04--ci-typecheck,01-platform-infrastructure.md#T-01.02.04,https://github.com/barghsadev/barghsa-core/pull/9
10,feat: configure TanStack Start build pipeline in apps/web,2026-08-24T02:43:33Z,feat/e01-t-01-03-01--tanstack-start-build,01-platform-infrastructure.md#T-01.03.01,https://github.com/barghsadev/barghsa-core/pull/10
11,feat: configure NestJS build pipeline in apps/api (T-01.03.02),2026-08-24T03:02:06Z,feat/e01-t-01-03-02--nestjs-build-pipeline,01-platform-infrastructure.md#T-01.03.02,https://github.com/barghsadev/barghsa-core/pull/11
12,feat(web): route-level code splitting and lazy loading for heavy modules,2026-08-24T03:20:23Z,feat/e01-t-01-03-03--route-code-splitting,01-platform-infrastructure.md#T-01.03.03,https://github.com/barghsadev/barghsa-core/pull/12
13,feat: implement bundle budget checking in CI (T-01.03.04),2026-08-24T03:35:51Z,feat/e01-t-01-03-04--bundle-budget-checking,01-platform-infrastructure.md#T-01.03.04,https://github.com/barghsadev/barghsa-core/pull/13
14,feat: configure hashed filenames and CDN-ready public asset output (T-01.03.05),2026-08-24T03:51:20Z,feat/e01-t-01-03-05--cdn-asset-output,01-platform-infrastructure.md#T-01.03.05,https://github.com/barghsadev/barghsa-core/pull/14
15,feat: vitest workspace (T-01.04.01),2026-08-24T04:06:15Z,feat/e01-t-01-04-01--vitest-workspace,01-platform-infrastructure.md#T-01.04.01,https://github.com/barghsadev/barghsa-core/pull/15
16,feat: per-package vitest configs with coverage thresholds (T-01.04.02),2026-08-24T04:23:11Z,feat/e01-t-01-04-02--vitest-coverage-thresholds,01-platform-infrastructure.md#T-01.04.02,https://github.com/barghsadev/barghsa-core/pull/16
17,feat(packages/db): initialize Drizzle ORM with pg pool and drizzle-kit (T-02.01.01),2026-08-24T04:49:56Z,feat/e01-t-02-01-01--drizzle-orm,01-platform-infrastructure.md#T-02.01.01,https://github.com/barghsadev/barghsa-core/pull/17
18,feat(packages/db): PostgreSQL pool factory with env var defaults and GUC timeout guards (T-02.01.02),2026-08-24T05:08:02Z,feat/e02-t-02-01-02--pool-factory,01-platform-infrastructure.md#T-02.01.02,https://github.com/barghsadev/barghsa-core/pull/18
19,feat(packages/db): implement query timeout and cancellation (T-02.01.03),2026-08-24T05:33:18Z,feat/e02-t-02-01-03--query-timeout-cancellation,01-platform-infrastructure.md#T-02.01.03,https://github.com/barghsadev/barghsa-core/pull/19
20,feat(db): add dbHealth() health check for readiness probes,2026-08-24T05:48:50Z,feat/e01-t-02-01-04--db-health-check,01-platform-infrastructure.md#T-02.01.04,https://github.com/barghsadev/barghsa-core/pull/20
21,feat(db): testcontainers-based PostgreSQL integration test harness,2026-08-24T06:01:29Z,feat/e01-t-01-04-03--integration-test-setup,01-platform-infrastructure.md#T-01.04.03,https://github.com/barghsadev/barghsa-core/pull/21
22,feat(db): add custom Drizzle type definitions for PostgreSQL column conventions,2026-08-24T06:19:45Z,feat/e01-t-02-02-01--custom-drizzle-types,01-platform-infrastructure.md#T-02.02.01,https://github.com/barghsadev/barghsa-core/pull/22
23,"feat(db): base table factory with id, createdAt, updatedAt columns",2026-08-24T06:32:23Z,feat/e01-t-02-02-02--base-table-factory,01-platform-infrastructure.md#T-02.02.02,https://github.com/barghsadev/barghsa-core/pull/23
24,feat(db): add uuid_generate_v7() migration and tests,2026-08-24T06:47:05Z,feat/e02-t-02-02-03--uuidv7-migration,01-platform-infrastructure.md#T-02.02.03,https://github.com/barghsadev/barghsa-core/pull/24
25,feat(web): configure Playwright E2E testing scaffold,2026-08-24T07:07:00Z,feat/e01-t-01-04-04--playwright-e2e,01-platform-infrastructure.md#T-01.04.04,https://github.com/barghsadev/barghsa-core/pull/25
26,feat: wire test and test:coverage tasks in turbo.json,2026-08-24T07:21:14Z,feat/e01-t-01-04-05--wire-test-tasks,01-platform-infrastructure.md#T-01.04.05,https://github.com/barghsadev/barghsa-core/pull/26
27,docs: ADR-001 data types and column conventions (T-02.02.04),2026-08-24T07:38:45Z,feat/e02-t-02-02-04--column-conventions-adr,01-platform-infrastructure.md#T-02.02.04,https://github.com/barghsadev/barghsa-core/pull/27
28,feat: configure flaky-test quarantine process (T-01.04.06),2026-08-24T08:22:38Z,feat/e01-t-01-04-06--flaky-test-quarantine,01-platform-infrastructure.md#T-01.04.06,https://github.com/barghsadev/barghsa-core/pull/28
