task_key,title,current_assessment,evidence,note,skip_commit,direct_merged_prs
01-platform-infrastructure.md#T-05.01.01,Create Ansible playbook or deploy script for pilot topology,no_matching_artifact_found,deploy/pilot,No deployment playbook/script found; proxy configuration alone is insufficient.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.01.02,Create `docker-compose.prod.yml` for pilot single-VM deployment,partial,docker-compose.prod.yml,Compose exists; lacks worker and tested complete production wiring. F18.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.01.03,Document explicitly that single-server deployment has lower availability,needs_document_review,architecture.md,Deployment material exists; validate explicit single-server availability warning.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.02.01,Design and document commercial HA topology,needs_document_review,architecture.md,Architecture material exists; verify complete commercial HA topology and failure domains.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.02.02,Configure rolling/blue-green deployment automation for HA,no_matching_artifact_found,.github/workflows,"Only CI workflow found, no rolling/blue-green deployment automation.",c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.02.03,Implement circuit breaker for external providers,partial,apps/api/src/provider-config,Email provider circuit-breaker work exists; not proof of coverage for every external provider.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.02.04,"Configure maintenance mode per capability, not whole-application",no_matching_artifact_found,apps/api/src,No complete per-capability maintenance-mode implementation identified.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.03.01,"Create CI workflow definition (GitHub Actions, GitLab CI, or equivalent)",existing_implementation_revalidate,.github/workflows/ci.yml,CI exists; repair acceptance gaps under F19 rather than recreate it.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.03.02,Implement migration validation step (two environments),partial,packages/db/src/test,"Tests exist, but production clean+upgrade migration gate remains F02/F19.",c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.03.03,Implement OpenAPI generation and drift check,partial,apps/api/package.json,OpenAPI generation exists; committed contract/client drift gate needs completion.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.03.04,Configure security scans in PR gate,no_matching_artifact_found,.github/workflows/ci.yml,No full required scan gate in the current CI workflow.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.03.05,Implement coverage threshold enforcement,later_merged_needs_fix,apps/api/vitest.config.ts,Later PR #121; current critical-domain thresholds are inadequate. F19.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,121
01-platform-infrastructure.md#T-05.04.01,Create staging gate CI workflow,no_matching_artifact_found,.github/workflows,No staging deployment gate workflow found.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.04.02,Create production promotion workflow with canary/gradual rollout,no_matching_artifact_found,.github/workflows,No production canary/promotion workflow found.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.04.03,Implement post-deploy smoke tests and SLO comparison,no_matching_artifact_found,.github/workflows,No post-deploy smoke/SLO comparison workflow found.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.04.04,Create runbooks for rollback scenarios,partial,docs/operations/backup/config-restore-runbook.md,Config restore runbook exists; not all rollback scenarios.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.05.01,Create nightly CI schedule,no_matching_artifact_found,.github/workflows/ci.yml,"Current CI has pull_request/push triggers, no nightly schedule.",c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.05.02,Create weekly load/performance regression test,no_matching_artifact_found,.github/workflows,No weekly load/performance workflow found.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.05.03,Create quarterly disaster-recovery and restore exercise,operational_evidence_required,docs/operations/backup/config-restore-runbook.md,Runbooks are not evidence a quarterly exercise happened.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-05.05.04,Create quarterly access review and threat-model update,operational_evidence_required,docs,No execution evidence for access review/threat-model exercise; another machine was not inspected.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-06.01.01,Initialize `packages/shared` with tsconfig and dependencies,existing_implementation_revalidate,packages/shared/package.json,Shared package builds and its 620 tests passed.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-06.01.02,Create username validation and normalization helpers,existing_implementation_revalidate,packages/shared/src/validation/normalize-username.ts,Username normalization/validation exists; retain and test against full requirement.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-06.01.03,Create password validation with strength meter logic,existing_implementation_revalidate,apps/web/src/components/PasswordField.tsx,Password validation and strength UI exist; reconcile shared-helper location and policy.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-06.01.04,Create stable error code enum with HTTP status mapping,existing_implementation_revalidate,packages/shared/src/errors/error-codes.ts,Stable errors exist; verify HTTP/client localization contracts.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-06.01.05,Create pagination helper schemas,partial,packages/shared/src,Pagination is implemented per feature; shared schema and all cursor semantics need review.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-06.02.01,Initialize `packages/i18n` with message dictionary structure,existing_implementation_revalidate,packages/i18n/src/index.ts,Both dictionaries exist; validate parity across completed features.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
01-platform-infrastructure.md#T-06.02.02,Create Jalali calendar date utilities,partial,packages/ui/src/components/base-ui/date-picker.tsx,Jalali display exists; actual calendar semantics require F20.,c94278fd489c2a655eb6a60c5860c1ce0d4c18bd,
