task_key,title,assessment,merged_prs,historically_skipped,repair_groups,acceptance_groups,requirement,current_source_files
01-platform-infrastructure.md#T-01.01.01,"Create `pnpm-workspace.yaml` with `packages: ['apps/*', 'packages/*']` and verify `pnpm install` resolves correctly",merged_source_evidence_acceptance_retest_required,1,False,,F22,kanban/epics/01-platform-infrastructure.md:50,apps/.gitkeep;package.json;packages/.gitkeep;pnpm-lock.yaml;pnpm-workspace.yaml
01-platform-infrastructure.md#T-01.01.02,Create root `turbo.json` pipeline definition,merged_source_evidence_acceptance_retest_required,2,False,,F22,kanban/epics/01-platform-infrastructure.md:55,turbo.json
01-platform-infrastructure.md#T-01.01.03,Create root `.npmrc` with strict peer dependencies and no shameful hoisting,merged_source_evidence_acceptance_retest_required,3,False,,F22,kanban/epics/01-platform-infrastructure.md:60,.npmrc;pnpm-lock.yaml
01-platform-infrastructure.md#T-01.01.04,"Create root `package.json` with `packageManager`, scripts, and engines constraint",merged_source_evidence_acceptance_retest_required,4,False,,F22,kanban/epics/01-platform-infrastructure.md:65,README.md;package.json;pnpm-lock.yaml
01-platform-infrastructure.md#T-01.01.05,"Verify monorepo integrity: install deps, run `turbo build` across all packages, confirm no cross-package resolution errors",merged_source_evidence_acceptance_retest_required,5,False,,F22,kanban/epics/01-platform-infrastructure.md:70,.github/workflows/ci.yml
01-platform-infrastructure.md#T-01.02.01,Create `packages/tsconfig/base.json` with strict shared settings,merged_source_evidence_acceptance_retest_required,6,False,,F22,kanban/epics/01-platform-infrastructure.md:92,packages/tsconfig/base.json;packages/tsconfig/package.json;packages/tsconfig/tsconfig.test.json;pnpm-lock.yaml
01-platform-infrastructure.md#T-01.02.02,"Configure per-package tsconfig with project references in each of: `packages/db`, `packages/shared`, `packages/i18n`, `packages/ui`, `apps/web`, `apps/api`",merged_source_evidence_acceptance_retest_required,7,False,,F22,kanban/epics/01-platform-infrastructure.md:97,.gitignore;apps/api/package.json;apps/api/tsconfig.json;apps/web/package.json;apps/web/src/index.ts;apps/web/tsconfig.json;package.json;packages/db/package.json;packages/db/src/index.ts;packages/db/tsconfig.json;packages/i18n/package.json;packages/i18n/src/index.ts;packages/i18n/tsconfig.json;packages/shared/package.json;packages/shared/src/index.ts;packages/shared/tsconfig.json;packages/ui/package.json;packages/ui/src/index.ts;packages/ui/tsconfig.json;pnpm-lock.yaml
01-platform-infrastructure.md#T-01.02.03,Create root-level `tsconfig.json` that references all sub-projects with `files: []` so IDE picks up project references,merged_source_evidence_acceptance_retest_required,8,False,,F22,kanban/epics/01-platform-infrastructure.md:102,tsconfig.json
01-platform-infrastructure.md#T-01.02.04,Wire `turbo.json` `typecheck` task and CI step to run `turbo typecheck`,merged_source_evidence_acceptance_retest_required,9,False,,F22,kanban/epics/01-platform-infrastructure.md:107,.github/workflows/ci.yml;apps/api/package.json;apps/web/package.json;package.json;packages/db/package.json;packages/i18n/package.json;packages/shared/package.json;packages/ui/package.json;scripts/check-suppressed-errors.sh
01-platform-infrastructure.md#T-01.03.01,Configure TanStack Start build pipeline in `apps/web`,merged_source_evidence_acceptance_retest_required,10,False,,"F19,F22",kanban/epics/01-platform-infrastructure.md:129,apps/web/README.md;apps/web/index.html;apps/web/package.json;apps/web/src/client.tsx;apps/web/src/routeTree.gen.ts;apps/web/src/router.tsx;apps/web/src/routes/__root.tsx;apps/web/src/routes/index.tsx;apps/web/tsconfig.json;apps/web/vite.config.ts;package.json;pnpm-lock.yaml
